,SMILES,True
202,O=S(=O)(c1ccc(CN=C(O)c2ccc3nccn3c2)cc1)c1ccc(N2CCOCC2)nc1,0.012
203,CCC(F)(F)c1nc2nc(C)cc(Nc3ccc(C(F)(F)F)cc3)n2n1,0.0679999999999999
204,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,0.0999999999999999
205,O=C(Oc1ccccc1)c1ccc(O)cc1,0.045
206,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)C2=CN=C3N=CC(c4ccc(Cl)cc4)=CC23)c1F,0.01
207,CC1=C(O)C(=O)C=C2C1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C,0.16
208,CC(C(=O)OC1C[N+]2(CC(=O)Nc3ccon3)CCC1CC2)(c1ccccc1)N1CCCCC1,0.1929999999999999
209,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC(C)C(C)=O,0.46
210,NC(Cc1c[nH]c2ccccc12)C(=O)O,0.1999999999999999
211,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,0.2676666699999999
212,OC(Cc1ncc(CC2(C(F)(F)F)CC2)[nH]1)(c1ccc(-n2cccn2)cc1)C(F)(F)F,0.01
213,CC(Oc1cc2onc(CCC(=O)O)c2cc1Cl)c1ccccn1,0.022
214,CCOc1cc(C(CS(C)(=O)=O)N2C(=O)c3cccc(CC(C)=O)c3C2=O)ccc1OC,0.32
215,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)CC1,0.49
216,CC(C)OC(=O)C(C)NP(=O)(OCC1OC(n2ccc(=O)[nH]c2=O)C(C)(F)C1O)Oc1ccccc1,0.15
217,NC(=O)c1cncc(-c2ccc(C3CCC(CC(=O)O)CC3)cc2)n1,0.035
218,CN1C(=O)c2c3c(c(O)c(=O)n2C12CCC1CC12CO)C(=O)N(Cc1ccc(F)c(Cl)c1)CC3,0.02
219,CC(C)(C)C(O)C(Cc1ccc(Cl)cc1)n1cncn1,0.1539499999999999
220,CCON=C(C(O)=NC1C(=O)N2C(C(=O)O)=C(Sc3nc(-c4cc[n+](C)cc4)cs3)CSC12)c1nc(=NP(=O)([O-])O)s[nH]1,0.8
221,Cc1nc(C2CCN(C(=O)C3CN(C(C)(C)C)CC3c3ccc(F)cc3F)CC2)n(-c2ccc(Cl)cc2)n1,0.25
222,Cc1cc(Oc2cncc(Cl)c2)cc(C(=O)Nc2ccc(F)cn2)n1,0.014
223,CC(C)(C)CN1CCC(c2ccccc2Oc2ncccc2N=C(O)Nc2ccc(OC(F)(F)F)cc2)CC1,0.0009999999999999
224,CNC(=O)Nc1ncc(SCCCOC)cc1Oc1cccnc1C,0.38
225,N#Cc1ccc(NCC(F)(F)c2ccccn2)c(F)c1CC(O)=NCCONC(=N)N,0.4399999999999999
226,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC(N(C)C)C1,0.025
227,COC(C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O)c1cccc(Br)c1,0.12
228,Cc1[nH]c(C(O)=NC2CCN(c3ncc(C(=O)O)s3)CC23OCCCO3)c(Cl)c1Cl,0.03
229,Cc1ccc2c(c1)c(-c1ccnc3c(C(F)(F)F)cccc13)c(C)n2CC(=O)O,0.004
230,CC1NC(=O)C(C(C)C)OC(=O)C(C)(C)C=Cc2ccc3ccc(nc3c2)C(C)NC(=O)C2CCCN(N2)C1=O,0.0959999999999999
231,COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1OC,0.56
232,O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)c2c(F)cccc2c1=O,0.0179999999999999
